ID	CONVENTIONAL_HUmin	CONVENTIONAL_HUmean	CONVENTIONAL_HUstd	CONVENTIONAL_HUmax	CONVENTIONAL_HUQ1	CONVENTIONAL_HUQ2	CONVENTIONAL_HUQ3	CONVENTIONAL_HUSkewness	CONVENTIONAL_HUKurtosis	CONVENTIONAL_HUExcessKurtosis	CONVENTIONAL_HUcalciumAgatstonScore(onlyForCT)	CONVENTIONAL_TLG(mL)(onlyForPETorNM).CT	DISCRETIZED_HUmin	DISCRETIZED_HUmean	DISCRETIZED_HUstd	DISCRETIZED_HUmax	DISCRETIZED_HUQ1	DISCRETIZED_HUQ2	DISCRETIZED_HUQ3	DISCRETIZED_HUSkewness	DISCRETIZED_HUKurtosis	DISCRETIZED_HUExcessKurtosis	DISCRETIZED_TLG(mL)(onlyForPETorNM).CT	DISCRETIZED_HISTO_Entropy_log10.CT	DISCRETIZED_HISTO_Entropy_log2.CT	DISCRETIZED_HISTO_Energy(=Uniformity).CT	DISCRETIZED_AUC_CSH.CT	SHAPE_Volume(mL).CT	SHAPE_Volume(vx).CT	SHAPE_Sphericity(onlyFor3DROI)).CT	SHAPE_Surface(mm2)(onlyFor3DROI).CT	SHAPE_Compacity(onlyFor3DROI).CT	GLCM_Homogeneity(=InverseDifference).CT	GLCM_Energy(=AngularSecondMoment).CT	GLCM_Contrast(=Variance).CT	GLCM_Correlation.CT	GLCM_Entropy_log10.CT	GLCM_Entropy_log2(=JointEntropy).CT	GLCM_Dissimilarity.CT	GLRLM_SRE.CT	GLRLM_LRE.CT	GLRLM_LGRE.CT	GLRLM_HGRE.CT	GLRLM_SRLGE.CT	GLRLM_SRHGE.CT	GLRLM_LRLGE.CT	GLRLM_LRHGE.CT	GLRLM_GLNU.CT	GLRLM_RLNU.CT	GLRLM_RP.CT	NGLDM_Coarseness.CT	NGLDM_Contrast.CT	NGLDM_Busyness.CT	GLZLM_SZE.CT	GLZLM_LZE.CT	GLZLM_LGZE.CT	GLZLM_HGZE.CT	GLZLM_SZLGE.CT	GLZLM_SZHGE.CT	GLZLM_LZLGE.CT	GLZLM_LZHGE.CT	GLZLM_GLNU.CT	GLZLM_ZLNU.CT	GLZLM_ZP.CT	CONVENTIONAL_SUVbwmin	CONVENTIONAL_SUVbwmean	CONVENTIONAL_SUVbwstd	CONVENTIONAL_SUVbwmax	CONVENTIONAL_SUVbwQ1	CONVENTIONAL_SUVbwQ2	CONVENTIONAL_SUVbwQ3	CONVENTIONAL_SUVbwSkewness	CONVENTIONAL_SUVbwKurtosis	CONVENTIONAL_SUVbwExcessKurtosis	CONVENTIONAL_SUVbwcalciumAgatstonScore(onlyForCT)	CONVENTIONAL_TLG(mL)(onlyForPETorNM).PET	DISCRETIZED_SUVbwmin	DISCRETIZED_SUVbwmean	DISCRETIZED_SUVbwstd	DISCRETIZED_SUVbwmax	DISCRETIZED_SUVbwQ1	DISCRETIZED_SUVbwQ2	DISCRETIZED_SUVbwQ3	DISCRETIZED_SUVbwSkewness	DISCRETIZED_SUVbwKurtosis	DISCRETIZED_SUVbwExcessKurtosis	DISCRETIZED_TLG(mL)(onlyForPETorNM).PET	DISCRETIZED_HISTO_Entropy_log10.PET	DISCRETIZED_HISTO_Entropy_log2.PET	DISCRETIZED_HISTO_Energy(=Uniformity).PET	DISCRETIZED_AUC_CSH.PET	SHAPE_Volume(mL).PET	SHAPE_Volume(vx).PET	SHAPE_Sphericity(onlyFor3DROI)).PET	SHAPE_Surface(mm2)(onlyFor3DROI).PET	SHAPE_Compacity(onlyFor3DROI).PET	GLCM_Homogeneity(=InverseDifference).PET	GLCM_Energy(=AngularSecondMoment).PET	GLCM_Contrast(=Variance).PET	GLCM_Correlation.PET	GLCM_Entropy_log10.PET	GLCM_Entropy_log2(=JointEntropy).PET	GLCM_Dissimilarity.PET	GLRLM_SRE.PET	GLRLM_LRE.PET	GLRLM_LGRE.PET	GLRLM_HGRE.PET	GLRLM_SRLGE.PET	GLRLM_SRHGE.PET	GLRLM_LRLGE.PET	GLRLM_LRHGE.PET	GLRLM_GLNU.PET	GLRLM_RLNU.PET	GLRLM_RP.PET	NGLDM_Coarseness.PET	NGLDM_Contrast.PET	NGLDM_Busyness.PET	GLZLM_SZE.PET	GLZLM_LZE.PET	GLZLM_LGZE.PET	GLZLM_HGZE.PET	GLZLM_SZLGE.PET	GLZLM_SZHGE.PET	GLZLM_LZLGE.PET	GLZLM_LZHGE.PET	GLZLM_GLNU.PET	GLZLM_ZLNU.PET	GLZLM_ZP.PET
1	-819.5460815	-327.8812685	193.5450451	-8	-480.7447281	-325.3694458	-165.4832802	-0.183305617	2.14963499	-0.85036501	0	-2004.010313	19	67.70680628	19.35722076	100	52	68	84	-0.183603834	2.14847219	-0.85152781	413.824	1.835795616	6.098381034	0.015631425	677.0680628	6.112	764	0.780346604	2071.661571	2.950288834	0.174463822	0.001321638	226.0780851	0.710725644	2.933695967	9.745527055	11.47423229	0.978172255	1.09496755	3.09E-04	4925.184043	3.02E-04	4794.504015	3.35E-04	5507.561155	11.57351866	700.1097561	0.970499396	0.012675438	0.858482141	0.021204263	0.810292892	3.425891182	3.12E-04	4682.249531	2.52E-04	3728.524148	9.49E-04	20448.38274	8.594746717	326.2570356	0.697643979	0.416887045	1.212747778	0.336855791	1.773152471	1.01669383	1.233667731	1.465283275	-0.438617929	2.601640197	-0.398359803	4864	3.909898836	2	4.372208437	1.159884411	6	4	4	5	-0.518690642	2.650441603	-0.349558397	14.096	0.634997371	2.109415606	0.257368742	1.366315136	3.224	403	0.765026213	1379.551222	2.336991877	0.694400977	0.100163936	1.063076362	0.55021342	1.093719719	3.633258261	0.716650562	0.744390164	3.082404877	0.080990125	18.63939426	0.066714053	12.56455179	0.199810889	68.98684784	70.22068131	148.1982026	0.678946364	0.026176652	0.064462341	2.440614959	0.158571315	2655.133333	0.134611111	11	0.018498592	1.395906508	137.8645185	58210.66667	5.533333333	2.066666667	0.037220844
2	-685.0510254	-322.7783872	154.5243744	-21.39850235	-441.1277847	-314.2635956	-226.6551323	-0.020744755	2.494996033	-0.505003967	0	-361.5117936	32	68.20714286	15.45893012	98	56	69	77.75	-0.019008505	2.501206509	-0.498793491	76.392	1.629229841	5.412184382	0.028673469	682.0714286	1.12	140	0.834948129	624.6498557	1.793004496	0.153079005	0.00685575	287.776672	0.264729478	2.188240308	7.269176958	12.89989092	0.985723041	1.062327385	2.59E-04	4876.566619	2.56E-04	4798.940133	2.72E-04	5235.690039	3.89650849	132.3948307	0.980769231	0.035238612	1.471879402	0.009240239	0.83723545	2.438095238	2.71E-04	4653.8	2.32E-04	3832.392394	5.62E-04	13378.06667	2.6	69.05714286	0.75	0.402980477	1.151962989	0.405276312	2.015203953	0.89081347	1.18657726	1.429073423	-0.066360899	2.245906851	-0.754093149	3072	2.322357385	2	4.170634921	1.34763564	7	3	4	5	-0.098144275	2.274079074	-0.725920926	8.408	0.70850885	2.353615453	0.214884102	1.303323413	2.016	252	0.830553215	929.2024499	2.169602545	0.616250453	0.062705108	1.586359902	0.530516001	1.291084273	4.288889118	0.957813674	0.820828975	2.170903209	0.092624437	18.3380648	0.080261162	14.31275658	0.178346884	43.5952412	41.15632755	125.529264	0.771367521	0.034894733	0.074332926	1.680251321	0.126281832	1180.909091	0.097032055	16.72727273	0.013900007	1.195927985	91.7571475	22689.54545	3.727272727	1.545454545	0.043650794
3	-833.0045776	-285.8519271	200.2044683	47.62767029	-441.2798767	-279.0935974	-111.7035084	-0.194827182	2.076573147	-0.923426853	0	-5790.216635	17	71.91153239	20.01968012	105	56	73	89	-0.193897377	2.075178752	-0.924821248	1456.64	1.861998841	6.185426264	0.014671603	719.1153239	20.256	2532	0.730644132	4918.28868	4.118505708	0.18106936	6.93E-04	223.2514259	0.697330589	3.270731765	10.86513574	11.28465324	0.97621588	1.103146979	2.68E-04	5525.340121	2.63E-04	5360.992089	2.88E-04	6252.567504	35.72016203	2301.935611	0.968009479	0.004205617	0.7372145	0.048384355	0.796437168	5.230232558	2.92E-04	5108.898256	2.43E-04	3936.128574	9.16E-04	41582.63488	24.88023256	1014.384884	0.679304897	0	1.250221296	0.34340498	2.068019629	1.010816872	1.230686665	1.507076204	-0.202173491	3.193152878	0.193152878	21333.33333	19.58346638	1	4.503575077	1.127580453	7	4	4	5	-0.098661226	2.81755022	-0.18244978	70.544	0.661983128	2.199060352	0.251146393	1.407367211	15.664	1958	0.738361173	4100.313437	3.820195758	0.738727718	0.102984134	0.677818908	0.700028995	1.105062872	3.6709394	0.559105093	0.680968081	4.606608493	0.074344051	20.07068584	0.056572768	12.6250352	0.26527222	105.6534014	275.5097576	517.6031684	0.586626856	0.006658203	0.022327851	4.852054988	0.276095421	32395	0.1524095	15.14285714	0.037090348	2.313031902	1678.86267	695488	9	2.928571429	0.014300306
4	-635.303894	-287.5872073	127.960297	-34	-373.1509705	-284.2078857	-185.552063	-0.278227139	2.393395559	-0.606604441	0	-1046.817435	37	71.74725275	12.80057812	97	63	72	82	-0.274000399	2.384444723	-0.615555277	261.16	1.672186716	5.554884033	0.023857022	717.4725275	3.64	455	0.829909172	1378.863099	2.639855982	0.201500445	0.002351788	119.5628778	0.617007412	2.681855647	8.90893162	8.51002056	0.976299426	1.104662213	2.19E-04	5281.250692	2.14E-04	5134.326908	2.37E-04	5934.181564	10.42725932	413.8965312	0.967878276	0.019866062	0.548271488	0.016264851	0.782383016	4.009933775	2.33E-04	4958.645695	1.89E-04	3737.371706	7.37E-04	24758.88411	7.066225166	171.6953642	0.663736264	0.468110621	1.386801625	0.431902304	2.38778019	1.164067954	1.385887206	1.683207542	-0.241344658	2.696011018	-0.303988982	5717.333333	4.881541719	2	4.927272727	1.442592936	8	4	5	6	-0.317990709	2.795329571	-0.204670429	17.344	0.739908789	2.457923795	0.207820248	1.539772727	3.52	440	0.766791561	1459.380623	2.411982141	0.652866002	0.069224366	1.287043283	0.646415728	1.269817988	4.218244049	0.831702515	0.789924189	2.574188619	0.067726026	24.97871471	0.057392065	18.64680816	0.14325438	71.63732425	64.79219381	191.6569405	0.726923077	0.027008808	0.05	1.296227075	0.143844606	2335.466667	0.128217026	17.46666667	0.016935532	1.290687412	95.8786849	65683.6	3.266666667	1.4	0.034090909
5	-734.7230835	-214.4076928	181.6828355	45.49610901	-366.3731155	-194.9523849	-41.19628048	-0.407175728	2.097546812	-0.902453188	0	-1138.933664	27	79.06927711	18.16278522	105	64	81	96	-0.406891865	2.101969883	-0.898030117	420.016	1.754681556	5.828925957	0.020304108	790.6927711	5.312	664	0.756963906	1944.976373	2.731138574	0.200805239	0.002302532	238.9642544	0.583316821	2.779951165	9.234797877	11.50987394	0.971227094	1.138029988	2.00E-04	6477.350626	1.97E-04	6219.516538	2.17E-04	7733.336254	12.42215487	591.3909426	0.959569045	0.010888507	1.043554903	0.018398404	0.837207418	6.648888889	2.24E-04	5719.651111	1.96E-04	4577.790753	8.48E-04	60418.52	8.208888889	295.72	0.677710843	0.523358583	1.694837036	0.405320756	2.491223574	1.481508255	1.726554871	1.960761428	-0.651144264	3.60755313	0.60755313	5120	5.979385064	2	5.909297052	1.307896723	8	5	6	7	-0.677450044	3.63464245	0.63464245	20.848	0.698570517	2.320601026	0.241046683	1.846655329	3.528	441	0.795428989	1408.970049	2.503956705	0.694765067	0.088813301	1.061021908	0.638382575	1.176762445	3.909120227	0.712173196	0.746387894	3.078293593	0.040664809	34.42392588	0.033086952	23.99353068	0.10226998	119.2013149	69.53113452	159.1773745	0.675388104	0.026747629	0.037253946	0.920880402	0.288353504	2840.6875	0.093415267	21	0.039571343	4.155661278	80.7593921	107467.125	2.875	1.875	0.036281179
6	-669.2097778	-260.2865135	149.3428519	-44.1163559	-381.7910461	-222.3967285	-138.0458908	-0.586858572	2.31460157	-0.68539843	0	-235.2990082	34	74.43362832	14.92510868	96	62.5	78	87	-0.592363634	2.3120372	-0.6879628	67.288	1.604083964	5.328651586	0.027958337	744.3362832	0.904	113	0.888822156	508.6841507	1.777134198	0.179097757	0.008321856	280.0026396	0.257167036	2.101223823	6.98011445	12.47513674	0.983778196	1.064887214	2.13E-04	5738.616465	2.10E-04	5626.74763	2.23E-04	6186.091806	3.058038802	105.9650932	0.978897209	0.037807147	2.022928393	0.010676686	0.857135013	2.453488372	2.27E-04	5436.569767	2.02E-04	4486.932933	4.55E-04	15546.33721	2.279069767	59.69767442	0.761061947	0.577955425	1.733091349	0.578715156	2.803042412	1.319202691	1.770506561	2.130109131	-0.166583427	2.240201161	-0.759798839	1792	1.941062311	2	6.05	1.849034497	9	5	6	7	-0.283393855	2.232843875	-0.767156125	6.776	0.849914831	2.823355954	0.151938776	1.890625	1.12	140	0.849180564	614.1805993	1.823567858	0.529540668	0.037504363	3.364725788	0.45237795	1.502420922	4.99093427	1.425280714	0.875893895	1.617634642	0.043656034	38.49045591	0.03997449	32.43633557	0.062758459	67.99629227	18.10124842	87.15762935	0.846703297	0.064256702	0.110075345	0.458686539	0.522735036	151.6666667	0.084493269	24.44444444	0.062851708	7.5066451	4.655954726	6615.277778	3.222222222	5.111111111	0.128571429
7	-779.6932983	-336.7225906	200.1970572	-7	-503.0530548	-345.5319214	-154.7328606	-0.042693085	1.947793941	-1.052206059	0	-797.3590945	23	66.84121622	20.01633937	100	50	66	85	-0.037992797	1.945232715	-1.054767285	158.28	1.78232364	5.920750973	0.018718042	668.4121622	2.368	296	0.691737135	1242.026414	1.906561706	0.15368816	0.003627388	390.1794927	0.496636119	2.509943748	8.337852653	15.5621969	0.977960244	1.108201713	3.19E-04	4784.498479	3.14E-04	4622.773441	3.39E-04	5607.963822	5.137547889	270.9277387	0.969074844	0.018295221	1.7344529	0.017088107	0.870138354	3.127753304	3.39E-04	4404.281938	3.02E-04	3697.001188	7.17E-04	21108.76211	3.889867841	162.5682819	0.766891892	0.597732484	1.930893378	0.565431434	2.80816102	1.542000443	1.96385181	2.314800322	-0.276398596	2.348297598	-0.651702402	3242.666667	4.294306872	2	6.679856115	1.734652324	9	5	7	8	-0.349037256	2.30708871	-0.69291129	14.856	0.80704596	2.680948649	0.168624812	2.087455036	2.224	278	0.850251583	969.0805201	2.294958937	0.588791813	0.058196491	2.588111052	0.505819581	1.372633632	4.559790227	1.198314824	0.821349956	2.418470278	0.032332787	43.92367909	0.028154657	33.63519711	0.064684554	127.0535797	35.47745483	137.2405313	0.760099613	0.033183775	0.083978737	0.660380594	0.324196314	546.3	0.060155053	28	0.029149668	5.852528844	11.38925542	30753.45	3.6	2.8	0.071942446
8	-830.0064697	-105.2164901	153.2781824	389.2041321	-168.167038	-43.72845459	0.99483411	-1.571156491	5.719376619	2.719376619	4419.708252	-1979.753477	17	89.97746599	15.33053905	139	84	96	101	-1.571717224	5.72610276	2.72610276	1693.016	1.613006609	5.35829197	0.036486172	899.7746599	18.816	2352	0.7809047	4380.976843	4.29493254	0.265770738	0.003163809	175.0211665	0.631427725	2.848165802	9.461401996	8.667669954	0.95047013	1.245057612	1.53E-04	8228.646582	1.48E-04	7750.139551	1.79E-04	10622.09297	74.54408111	1926.853308	0.931678441	0.003042182	0.277813821	0.026132011	0.764050666	38.05531547	1.87E-04	7237.157303	1.55E-04	5275.072754	0.003853669	385446.4676	24.68366465	626.8755402	0.491921769	0.621077418	1.884846902	0.407307819	2.935826778	1.62479347	1.895486832	2.15769124	-0.358562759	3.413401759	0.413401759	21333.33333	28.42349128	2	6.531564987	1.327004141	10	6	7	7	-0.315225593	3.343295602	0.343295602	98.496	0.719893904	2.391435785	0.220740595	2.041114058	15.08	1885	0.702394828	4202.461211	3.588373394	0.710586536	0.083170665	0.943865109	0.691609705	1.214396537	4.034137975	0.660931627	0.714404908	4.05769121	0.030121162	42.32953963	0.023131435	28.71281986	0.104351683	187.8866175	249.2332725	579.6913705	0.622974903	0.007165903	0.020394896	2.133286333	0.425755444	22167.5	0.056671636	29.14705882	0.029774471	7.935733471	536.3875425	985870.6471	8.764705882	6.176470588	0.018037135
9	-862.1552124	-255.7006142	189.7598931	37	-395.2970047	-243.6272125	-95.47327232	-0.372831328	2.38089517	-0.61910483	0	-1665.1224	14	74.91154791	18.96335634	104	61	76	91	-0.375642533	2.3823149	-0.6176851	487.824	1.814287873	6.026933858	0.0168851	749.1154791	6.512	814	0.636889136	2647.869302	2.459335888	0.155376883	0.001381346	318.5544574	0.500181961	2.920114244	9.700409548	13.75161846	0.98298653	1.072647421	2.43E-04	5915.342092	2.40E-04	5774.107324	2.53E-04	6525.71782	13.29126318	760.559597	0.977130977	0.008743944	1.085624362	0.023026566	0.86637038	2.647527911	2.68E-04	5391.835726	2.46E-04	4440.838011	4.81E-04	19810.95056	10.01754386	444.8118022	0.77027027	0.572479546	1.800031503	0.541725582	3.164036036	1.469340205	1.742286205	2.143258095	0.154465947	3.065219253	0.065219253	5546.666667	6.782518704	2	6.261146497	1.749054328	11	5	6	7	0.173706233	3.161564167	0.161564167	23.592	0.834816579	2.773200649	0.177473957	1.95660828	3.768	471	0.791533683	1479.410352	2.546960683	0.587726966	0.043434989	1.885115737	0.673425012	1.477780279	4.909079826	1.065398529	0.841280998	1.998173574	0.037031542	41.66952041	0.032545514	34.34480105	0.06713083	84.88510225	64.2158478	248.8076536	0.788665687	0.026076772	0.038484395	0.65314426	0.568436622	1437.074074	0.098342756	26.03703704	0.072762021	6.730751115	42.69722132	54987.14815	6.407407407	8.851851852	0.057324841
10	-751.0367432	-275.1681944	197.453222	35.92536545	-436.5031281	-257.2358704	-99.15295601	-0.323047749	2.049112605	-0.950887395	0	-981.8001175	25	72.96860987	19.75520369	104	57	75	90.25	-0.322832698	2.046852149	-0.953147851	260.352	1.81801239	6.039306434	0.016780953	729.6860987	3.568	446	0.774608427	1457.757007	2.447595849	0.165838049	0.002067583	295.7505527	0.571344074	2.722186987	9.042909431	13.29331319	0.978495672	1.088425157	2.57E-04	5661.038967	2.53E-04	5498.801174	2.71E-04	6330.208694	7.215058235	409.6790924	0.971886858	0.016754309	1.172743953	0.013642868	0.804813567	2.924050633	2.86E-04	5112.174051	2.47E-04	3834.309161	5.93E-04	20040.66456	5.113924051	190.5253165	0.708520179	0.556815803	1.687651322	0.565687741	2.929971218	1.351050377	1.697209179	2.092737734	-0.137944804	2.289072567	-0.710927433	4778.666667	5.481491494	2	5.92364532	1.827966248	10	5	6	7	-0.092772027	2.309497399	-0.690502601	19.24	0.84219487	2.7977108	0.158945861	1.851139163	3.248	406	0.762223363	1391.487199	2.33419323	0.575962951	0.038792857	2.437156508	0.606100578	1.49724114	4.973727407	1.179451818	0.839652	1.997896863	0.043442057	37.26975241	0.037957206	30.21063859	0.082012303	78.56873705	51.49035587	216.7002457	0.794240243	0.02452112	0.065501907	0.950686481	0.520200713	1156.636364	0.086466715	25.68181818	0.066248448	6.401427166	43.93341786	43184.59091	5.727272727	6.090909091	0.054187192
11	-710.435791	-303.2828215	180.1158621	-2	-450.2236328	-301.0027771	-157.6564636	-0.109578825	1.968649578	-1.031350422	0	-900.1434141	29	70.17789757	17.99747352	100	55	70	85	-0.116832177	1.960423994	-1.039576006	208.288	1.786394311	5.93427345	0.017996091	701.7789757	2.968	371	0.808545861	1235.25152	2.402749522	0.155646432	0.002564306	318.3155688	0.471880506	2.641212378	8.773917604	13.83614785	0.980541808	1.088919604	2.60E-04	5180.027773	2.57E-04	5032.145098	2.74E-04	5874.186225	6.395954073	343.2214349	0.973045822	0.017986298	1.211380543	0.015908827	0.865335681	2.77972028	2.82E-04	4765.391608	2.54E-04	3960.813573	5.41E-04	18896.02098	5.111888112	202.1888112	0.770889488	0.540924072	1.825846156	0.533452408	3.029341221	1.47936058	1.831906915	2.221293092	-0.143995002	2.738849762	-0.261150238	3754.666667	4.528098467	2	6.319354839	1.784687441	10	5	6	8	-0.251436475	2.7872082	-0.2127918	15.672	0.852861399	2.833144244	0.160978148	1.974798387	2.48	310	0.815996074	1085.835016	2.283956554	0.56725002	0.040071138	2.284686598	0.598267294	1.482336779	4.924216193	1.171873822	0.858428658	1.879223889	0.038630155	41.8303411	0.03469594	34.73639954	0.066364262	83.27016022	40.33439432	176.8942063	0.811662531	0.037680038	0.060387224	0.564587428	0.342241254	655.2380952	0.079922802	26.80952381	0.034119974	4.890682192	17.13011971	29626.33333	4.333333333	3.095238095	0.067741935
12	-701.5751953	-237.5605526	149.9548379	42.32218552	-342.2420349	-213.1492767	-126.3710022	-0.452908609	2.691957617	-0.308042383	0	-910.3320375	30	76.77244259	14.98629828	105	66	79	88	-0.451738735	2.697193064	-0.302806936	294.192	1.72870507	5.742633941	0.021334461	767.7244259	3.832	479	0.789975468	1499.066342	2.55625778	0.171544813	0.002024166	232.1151537	0.473356728	2.734762863	9.084685588	11.68528203	0.977536991	1.093562626	1.99E-04	6084.045353	1.95E-04	5921.347694	2.13E-04	6762.326763	9.841750715	438.2597094	0.970451261	0.014496853	0.79302676	0.016126029	0.813296427	3.110119048	2.15E-04	5721.080357	1.84E-04	4448.069987	5.31E-04	21128.07143	6.738095238	207.7083333	0.701461378	0.640932202	2.029170031	0.593510458	3.274929762	1.740450412	2.045923948	2.442126393	-0.324001942	2.836074157	-0.163925843	5546.666667	7.434878993	3	6.975982533	1.931544514	11	6	7	8	-0.280525781	2.85269998	-0.14730002	25.56	0.851491342	2.828593013	0.163154783	2.179994541	3.664	458	0.754242415	1523.854434	2.404429135	0.584651051	0.040957283	2.452092821	0.630764971	1.492280499	4.957248514	1.164065329	0.830819205	2.207992652	0.030668348	50.95893829	0.026647944	41.00291067	0.060518674	118.5366713	57.42778363	237.4407521	0.7801478	0.026725067	0.066686894	0.748884307	0.381695957	1431.913043	0.051085941	33.82608696	0.019937859	8.350231592	32.60977446	73845	5.869565217	3.608695652	0.050218341
13	-588.5040894	-211.0576146	147.8573431	39.5165596	-312.5300446	-177.7911377	-94.83511353	-0.613736024	2.537368746	-0.462631254	0	-373.1498627	42	79.38914027	14.77868925	104	69	83	91	-0.612708167	2.521027142	-0.478972858	140.36	1.668429577	5.542403086	0.025040437	793.8914027	1.768	221	0.743063954	951.5817497	1.85795913	0.171555172	0.004453386	207.9252523	0.443063596	2.380605431	7.908200064	11.04077054	0.986035047	1.057457384	1.82E-04	6505.258087	1.80E-04	6401.513149	1.91E-04	6924.557673	5.406220277	209.1157594	0.981552384	0.028790554	1.079095907	0.010457428	0.833575581	2.029069767	1.87E-04	6313.476744	1.59E-04	5131.69501	3.51E-04	13886.29651	4.069767442	111.6627907	0.778280543	0.542895734	1.741855467	0.618421093	3.125753403	1.2898072	1.77979207	2.243657291	-0.09737455	2.190098852	-0.809901148	2816	3.344362497	2	6.108333333	2.007468694	11	5	6	8	-0.089946744	2.242753276	-0.757246724	11.728	0.88760685	2.948566131	0.1428125	1.908854167	1.92	240	0.802216511	931.2365519	2.06177474	0.524416112	0.031254498	3.511988985	0.52418361	1.591430011	5.286616064	1.463393581	0.867255985	1.699865758	0.043512762	40.33924035	0.039089289	33.97435729	0.068897	71.78888367	28.53225843	144.6640879	0.835897436	0.038814427	0.078603847	0.514243834	0.22889304	287.1304348	0.074250192	31.69565217	0.029706248	7.376291795	8.300628537	13098.17391	3.869565217	2.130434783	0.095833333
14	-691.8103638	-223.1023366	174.7251744	40.97516632	-354.5140991	-203.8535004	-65.9751358	-0.454347089	2.286147142	-0.713852858	0	-1047.688572	31	78.21805792	17.49237306	105	65	80	94	-0.457954843	2.291059785	-0.708940215	367.312	1.778215284	5.907103312	0.018803201	782.1805792	4.696	587	0.680413138	1993.10491	2.35612284	0.171299165	0.001920029	318.4006372	0.422384513	2.781406235	9.239631515	13.48834913	0.979883916	1.087178362	2.02E-04	6369.673892	1.99E-04	6201.553044	2.14E-04	7099.006258	10.57228467	541.7990285	0.972873804	0.010818905	1.08663892	0.018395778	0.825908964	3.327868852	2.21E-04	5828.035129	1.92E-04	4563.897912	5.10E-04	26481.35831	7.430913349	272.2131148	0.727427598	0.644706786	1.932825075	0.604549479	3.23775816	1.51946032	1.906967044	2.328199029	0.160054564	2.561743264	-0.438256736	4266.666667	5.442835412	3	6.710227273	1.964488123	11	5	7	8	0.182670991	2.562537487	-0.437462513	18.896	0.892614829	2.965202278	0.142287577	2.096946023	2.816	352	0.798569718	1207.609129	2.331880352	0.553465799	0.030700549	2.563879421	0.654246927	1.594572195	5.297054172	1.251382576	0.857850975	1.837431379	0.031213562	47.76450615	0.027596089	39.82406443	0.054021474	91.43432556	40.94865712	201.4350633	0.816215035	0.033971165	0.074364423	0.792423426	0.26756717	782.7	0.053082165	34.7	0.019141845	4.0594073	19.25580486	37712.1	3.5	2.1	0.056818182
15	-835.0232544	-370.7152678	163.903692	13.03401947	-496.2228699	-370.6069031	-244.825592	-0.05581203	2.288339542	-0.711660458	0	-3997.793448	17	63.4347181	16.40536333	102	51	63	76	-0.055947177	2.289569018	-0.710430982	684.08	1.803133776	5.98988075	0.017385906	634.347181	10.784	1348	0.697151542	3385.921238	3.184952998	0.170390919	9.35E-04	172.8815182	0.640088658	3.09224673	10.27222129	10.3985363	0.982919328	1.072410713	3.22E-04	4282.937866	3.17E-04	4202.114006	3.41E-04	4624.631721	22.85858605	1259.215363	0.977117097	0.007808437	0.520737541	0.032609646	0.806419923	2.506072874	3.37E-04	4136.55668	2.82E-04	3242.791738	7.37E-04	11298.90891	16.89068826	597.7510121	0.732937685	0.652119279	2.060989268	0.521910419	3.740831614	1.67566815	1.998688042	2.358243644	0.453568125	3.184001965	0.184001965	11349.33333	16.71874495	3	7.093688363	1.703372802	12	6	7	8	0.451211824	3.069261544	0.069261544	57.544	0.830553874	2.759040249	0.17540041	2.216777613	8.112	1014	0.676130004	2887.614478	2.809239274	0.606477095	0.044642606	1.881654829	0.659566695	1.498252812	4.977088111	1.0226128	0.823751853	2.295145489	0.024748764	52.53621748	0.021021556	42.47385721	0.052877097	122.3595919	129.8504342	494.3521566	0.759899863	0.012097035	0.037102607	1.275793615	0.394088652	2990.313725	0.044900909	36.90196078	0.020938204	10.07422138	66.3520423	144501.6275	12.21568627	7.980392157	0.050295858
16	-565.3877563	-113.6506441	123.328591	32	-172.6045113	-90.17124939	-20.56506157	-1.130281854	4.016713897	1.016713897	0	-260.0326738	44	89.13286713	12.35446057	104	83	91.5	98	-1.116849849	3.988594913	0.988594913	203.936	1.548709987	5.144703217	0.034304856	891.3286713	2.288	286	0.829919907	1011.778133	2.261365338	0.251617847	0.006149383	125.4599803	0.467920124	2.380580103	7.908115926	7.940238745	0.956831649	1.210584152	1.38E-04	7976.222734	1.34E-04	7547.620674	1.60E-04	10096.9795	8.569648585	240.3785648	0.940559441	0.026319174	0.721473305	0.009176014	0.814245101	7.565714286	1.54E-04	7266.114286	1.32E-04	5660.284146	8.11E-04	73658.52571	5.182857143	108.7828571	0.611888112	0.791622937	2.494615625	0.713689036	3.61798811	2.16574204	2.626805305	3.005349696	-0.823019769	2.960706439	-0.039293561	4608	7.224406851	3	8.466850829	2.30906346	12	7	9	10	-0.793641111	2.923455651	-0.076544349	24.52	0.886688222	2.945514517	0.146088337	2.645890884	2.896	362	0.799417115	1229.069347	2.356254354	0.569443439	0.040013213	2.870381728	0.682213664	1.498783407	4.978850708	1.250516043	0.847331985	2.055084184	0.021985149	74.34496695	0.019443967	60.75986991	0.040696674	164.4757244	41.76848924	199.3549591	0.79558011	0.031427006	0.087244829	0.406592152	0.197608815	960.6666667	0.04079251	51.16666667	0.006137951	8.780175423	12.96088987	83831.5	2.333333333	1.666666667	0.049723757
